Date,CPI_mom,Repo,Oil,FX,IIP_yoy
2024-11,-0.152,6.5,74.3452,84.3326,4.961
2024-12,-0.56,6.5,73.8595,84.9686,3.743
2025-01,-1.024,6.5,79.2705,86.2652,5.208
2025-02,-0.465,6.25,75.438,87.0637,2.719
2025-03,-0.26,6.25,72.7329,86.5214,3.938
2025-04,0.313,6.0,68.1345,85.5768,2.568
2025-05,0.208,6.0,64.453,85.2462,1.875
2025-06,0.622,5.5,71.4448,85.8765,1.523
2025-07,0.978,5.5,71.0413,86.1714,4.272
2025-08,0.459,5.5,67.87,87.5695,4.115
2025-09,0.0,5.5,67.9855,88.3214,4.629
2025-10,0.152,5.5,64.5435,88.3691,0.532
2025-11,0.304,5.5,63.797,88.8444,7.157
2025-12,0.051,5.25,62.5443,90.035,7.785
